,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha)
64,e315fbd1-3faf-47be-bca9-a54eaab1190d,sorghum,0,0,0,0.0,142219.97,4272.37,607616999.34,28782453.51,202.38
65,a1a32081-6b52-46f2-a619-85b8e8db4a12,cassava,-30,-50,-40,40.0,1199528.26,120.89,145005825.17,3563846.96,2.97
66,a1a32081-6b52-46f2-a619-85b8e8db4a12,groundnuts,0,0,0,0.0,57116.76,2381.64,136031550.71,6321040.93,110.67
67,a1a32081-6b52-46f2-a619-85b8e8db4a12,maize,0,0,0,0.0,30889.39,2672.97,82566447.82,25449735.91,823.9
68,a1a32081-6b52-46f2-a619-85b8e8db4a12,sesame,0,0,0,0.0,94199.62,1462.48,137765271.67,10237470.7,108.68
69,a1a32081-6b52-46f2-a619-85b8e8db4a12,sorghum,0,0,0,0.0,142219.97,4272.37,607616999.34,28782453.51,202.38
70,aa65ffea-c86e-4559-a2b6-46b76fc13d10,cassava,-20,-50,-40,40.0,1200048.95,134.54,161453854.56,5256709.94,4.38
71,aa65ffea-c86e-4559-a2b6-46b76fc13d10,groundnuts,0,0,0,0.0,57078.29,2382.71,136001045.67,6315805.53,110.65
72,aa65ffea-c86e-4559-a2b6-46b76fc13d10,maize,0,0,0,0.0,30683.05,2682.09,82294582.54,23873491.92,778.07
73,aa65ffea-c86e-4559-a2b6-46b76fc13d10,sesame,0,0,0,0.0,94105.92,1463.33,137707995.51,10222008.74,108.62
74,aa65ffea-c86e-4559-a2b6-46b76fc13d10,sorghum,0,0,0,0.0,142037.79,4276.16,607376004.46,28686531.87,201.96
75,ed02575d-3dd1-4525-922e-4f1d6a6bbfb2,cassava,-10,-50,-40,40.0,1200048.95,134.54,161453854.56,5256709.94,4.38
76,ed02575d-3dd1-4525-922e-4f1d6a6bbfb2,groundnuts,0,0,0,0.0,57078.29,2382.71,136001045.67,6315805.53,110.65
77,ed02575d-3dd1-4525-922e-4f1d6a6bbfb2,maize,0,0,0,0.0,30683.05,2682.09,82294582.54,23873491.92,778.07
78,ed02575d-3dd1-4525-922e-4f1d6a6bbfb2,sesame,0,0,0,0.0,94105.92,1463.33,137707995.51,10222008.74,108.62
79,ed02575d-3dd1-4525-922e-4f1d6a6bbfb2,sorghum,0,0,0,0.0,142037.79,4276.16,607376004.46,28686531.87,201.96
80,2258af86-5af2-4487-9015-87579668f88c,cassava,0,-50,-40,40.0,1200719.14,145.94,175233646.55,7080790.17,5.9
81,2258af86-5af2-4487-9015-87579668f88c,groundnuts,0,0,0,0.0,57025.46,2384.21,135960544.7,6308968.97,110.63
82,2258af86-5af2-4487-9015-87579668f88c,maize,0,0,0,0.0,30434.35,2693.25,81967310.82,22198851.16,729.4
83,2258af86-5af2-4487-9015-87579668f88c,sesame,0,0,0,0.0,93978.72,1464.5,137631959.7,10201886.58,108.56
84,2258af86-5af2-4487-9015-87579668f88c,sorghum,0,0,0,0.0,141796.33,4281.22,607061768.47,28564051.12,201.44
85,67d0fb73-bd3d-4a85-ac64-a4db937a08ff,cassava,10,-50,-40,40.0,1201117.32,151.01,181381291.32,8031274.14,6.69
