crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
sorghum,20,-20,30,1040589.09,760.15,791002459.4,43960400.65,42.25
sesame,-10,40,40,72587.26,1623.77,117865371.48,5299342.79,73.01
sesame,10,-20,10,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,30,-40,-30,576985.27,308.69,178109431.25,26990313.63,46.78
groundnuts,40,50,0,83070.89,1810.1,150366203.66,8790415.46,105.82
groundnuts,-10,-40,0,1238883.08,151.37,187526195.44,12959087.17,10.46
cassava,10,20,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
sorghum,20,20,20,228925.93,2761.07,632080452.37,21482421.24,93.84
sorghum,50,0,10,634968.6,1190.97,756226052.36,42602591.04,67.09
groundnuts,50,-10,30,736459.63,253.09,186391349.15,13135031.54,17.84
cassava,-20,20,-10,47887.57,2641.59,126499197.85,2611258.43,54.53
